key,table,entry_id,field,index,english,korean

중첩당: [color=#ff8030]공격[/color] / [color=#ffff50]피격[/color] 시 3칸 범위 내 모든 적에게 [color=#ffd000]부식[/color] 2 적용

[color=#ffd000]부식[/color] 중첩당: [color=#5050ff]방어[/color] [color=#ff3030]-20[/color], [color=#5050ff]방어력[/color] [color=#ff3030]-10[/color], [color=#ffff50]피격[/color] 시 [color=#ff7000]화염[/color] 피해 1 적용"
Table_Buffs|Jackalform|name|,Table_Buffs,Jackalform,name,,Jackalform,자칼 형상
Table_Buffs|Jackalform|description|,Table_Buffs,Jackalform,description,,"transformation: [color=#ffff50]attack range[/color] set to [color=#ff3030]1[/color], [color=#5050ff]Armor[/color] set to [color=#ff3030]1[/color]

per stack: [color=#20ff20]+1 Speed[/color], [color=#ff8030]+10 Hit[/color], [color=#50ff50]heal[/color] 5 on [color=#ffff50]kill[/color]","형상: [color=#ffff50]공격 사거리[/color] [color=#ff3030]1[/color]로 설정, [color=#5050ff]방어력[/color] [color=#ff3030]1[/color]로 설정

중첩당: [color=#20ff20]+1 속도[/color], [color=#ff8030]+10 명중[/color], [color=#ffff50]처치[/color] 시 [color=#50ff50]회복[/color] 5"
Table_Buffs|Crystalform|name|,Table_Buffs,Crystalform,name,,Crystalform,수정 형상
Table_Buffs|Crystalform|description|,Table_Buffs,Crystalform,description,,"transformation: [color=#ff8030]Hit[/color] set to [color=#ff3030]1[/color], [color=#ff0000]Inflexibility doubled[/color], perform all of your ""[color=#ffff50]game turn[/color]"" actions on [color=#ffff50]stand still[/color] [color=#707070]if enemies live / does not tick down effects[/color]

per stack: [color=#50ff50]heal[/color] 1 and apply 1 [color=#5080ff]Freeze[/color] to all enemies on [color=#ffff50]game turn[/color] [color=#707070]if enemies live[/color]","형상: [color=#ff8030]명중[/color] [color=#ff3030]1[/color]로 설정, [color=#ff0000]경직 두 배[/color], [color=#ffff50]정지[/color] 시 ""[color=#ffff50]게임 턴[/color]"" 행동을 모두 수행 [color=#707070]적이 생존 중일 때 / 효과 소진 없음[/color]

중첩당: [color=#ffff50]게임 턴[/color] 시 [color=#50ff50]회복[/color] 1 및 모든 적에게 [color=#5080ff]빙결[/color] 1 적용 [color=#707070]적이 생존 중일 때[/color]"
Table_Classes|Amir|description|,Table_Classes,Amir,description,,"You are an [color=#bf9f40]Explorer[/color] of the obelisk, assisted by trusty [color=#bf9f40]Scouts[/color]. You wield a [color=#a0ffa0]Bow[/color].","당신은 오벨리스크를 탐험하는 [color=#bf9f40]탐험가[/color]로, 믿음직한 [color=#bf9f40]정찰병[/color]들의 지원을 받는다"
Table_Classes|Amir|brief|,Table_Classes,Amir,brief,,A battle-chief of the eastern desert. Leads devout followers on the path of Achra,동부 사막의 전쟁 족장. 경건한 추종자들을 이끌고 아크라의 길을 걷는다
Table_Classes|Amir|name|,Table_Classes,Amir,name,,[color=#bf9f40]Amir[/color],[color=#bf9f40]아미르[/color]
Table_Classes|Warrior|description|,Table_Classes,Warrior,description,,"You are an adorned, pompous [color=#f0205f]Warrior[/color]. Your attacks are trained and accurate. You wield a [color=#a0ffa0]Scimitar[/color].",당신은 화려하고 거만한 [color=#f0205f]전사[/color]다. 공격은 훈련되고 정확하다
Table_Classes|Warrior|brief|,Table_Classes,Warrior,brief,,A haughty mercenary. Trained to maintain defenses in the old ways of lost Shuppurak,오만한 용병. 잃어버린 슈푸라크의 옛 전통대로 방어를 유지하도록 훈련되었다
Table_Classes|Warrior|name|,Table_Classes,Warrior,name,,[color=#ffaf50]Warrior[/color],[color=#ffaf50]전사[/color]
Table_Classes|Peltast|brief|,Table_Classes,Peltast,brief,,A wandering soldier trained in ranged tactics during the skirmish-wars of the coastal plains,해안 평원의 소규모 전쟁에서 원거리 전술을 익힌 방랑 병사
Table_Classes|Peltast|name|,Table_Classes,Peltast,name,,[color=#8080af]Peltast[/color],[color=#8080af]펠타스트[/color]
Table_Classes|Templar|brief|,Table_Classes,Templar,brief,,An exultant swordsman of the temple-lands. Revels in killing and religious devotion,신전 지대의 열광적인 검사. 살육과 종교적 헌신 속에서 쾌락을 찾는다
Table_Classes|Templar|name|,Table_Classes,Templar,name,,[color=#40a0ff]Templar[/color],[color=#40a0ff]성기사[/color]
Table_Classes|Nihang|brief|,Table_Classes,Nihang,brief,,A figher trained in a sacred battle-art by mountain priests. Channels piety into offensive power,산의 사제들에게 신성한 전투 기술을 배운 전사. 경건함을 공격력으로 전환한다
Table_Classes|Nihang|name|,Table_Classes,Nihang,name,,[color=#a08080]Abdi[/color],[color=#a08080]압디[/color]
Table_Classes|Mubarizun|brief|,Table_Classes,Mubarizun,brief,,A renowned duelist-champion. Cuts enemies through a whirling dance,명성 높은 결투 챔피언. 소용돌이치는 춤으로 적을 베어 넘긴다
Table_Classes|Mubarizun|name|,Table_Classes,Mubarizun,name,,[color=#f0a030]Mubarizun[/color],[color=#f0a030]무바리준[/color]
Table_Classes|Myrmidon|brief|,Table_Classes,Myrmidon,brief,,A rigid lancer adorned in bone-armor of the ancient earth,고대 대지의 뼈 갑옷으로 치장한 경직된 창병
Table_Classes|Myrmidon|name|,Table_Classes,Myrmidon,name,,[color=#c0c0a0]Myrmidon[/color],[color=#c0c0a0]미르미돈[/color]
Table_Classes|Nartaka|brief|,Table_Classes,Nartaka,brief,,A dancer-mystic attuned to thunderbolts. Wears a magic war-glove received from the storm temples,벼락에 조화된 무용 신비가. 폭풍 신전에서 받은 마법 전쟁 장갑을 착용한다
Table_Classes|Nartaka|name|,Table_Classes,Nartaka,name,,[color=#2050ff]Nartaka[/color],[color=#2050ff]나르타카[/color]
Table_Classes|Zealot|brief|,Table_Classes,Zealot,brief,,A pious fanatic. Constantly propitiates the gods,경건한 광신자. 끊임없이 신들에게 기도한다
Table_Classes|Zealot|name|,Table_Classes,Zealot,name,,[color=#d04040]Zealot[/color],[color=#d04040]광신도[/color]
Table_Classes|Ascetic|brief|,Table_Classes,Ascetic,brief,,A spiritual purist. Gains power through stillness,정신적 순수주의자. 고요함을 통해 힘을 얻는다
Table_Classes|Ascetic|name|,Table_Classes,Ascetic,name,,[color=#8020a0]Ascetic[/color],[color=#8020a0]금욕자[/color]
Table_Classes|Gala|brief|,Table_Classes,Gala,brief,,A holy reveler with a chant of unending vigor. A leader of War-Priests who still proclaim the glory of lost Shuppurak,끝없는 활력의 성가를 지닌 신성한 연회자. 고대 신들의 영광을 선포하는 전쟁 사제들을 이끈다
Table_Classes|Gala|name|,Table_Classes,Gala,name,,[color=#4080af]Gala[/color],[color=#4080af]갈라[/color]
Table_Classes|Unataak|brief|,Table_Classes,Unataak,brief,,A fighter-monk trained by the yellow church. Performs a cleansing stance,황색 교회가 훈련시킨 전사 수도승. 정화의 자세를 취한다
Table_Classes|Unataak|name|,Table_Classes,Unataak,name,,[color=#d0d080]Unataak[/color],[color=#d0d080]우나타크[/color]
Table_Classes|Warlock|brief|,Table_Classes,Warlock,brief,,A power-hungry mystic devoted to prayer and death. Learned to cast flames in the burning lands,기도와 죽음에 헌신하는 권력욕 강한 신비가. 불타는 땅에서 화염을 시전하는 법을 배웠다
Table_Classes|Warlock|name|,Table_Classes,Warlock,name,,[color=#7020a0]Warlock[/color],[color=#7020a0]흑마법사[/color]
Table_Classes|Priest|brief|,Table_Classes,Priest,brief,,A magic aspirant of the temple-lands blessed with a ritual of amplification,증폭 의식의 축복을 받은 신전 지대의 마법 지망생
Table_Classes|Priest|name|,Table_Classes,Priest,name,,[color=#ff5030]Priest[/color],[color=#ff5030]사제[/color]
Table_Classes|Druid|brief|,Table_Classes,Druid,brief,,A serpent-beckoning monk of the dawn marshes,새벽 습지의 뱀을 부르는 수도승
Table_Classes|Druid|name|,Table_Classes,Druid,name,,[color=#20d060]Druid[/color],[color=#20d060]드루이드[/color]
Table_Classes|Summoner|brief|,Table_Classes,Summoner,brief,,A conjurer from the desert of the gods. Channels willpower into powerful allies,신들의 사막에서 온 소환사. 의지을 강력한 아군으로 전환한다
Table_Classes|Summoner|name|,Table_Classes,Summoner,name,,[color=#a070ff]Summoner[/color],[color=#a070ff]소환사[/color]
Table_Classes|Apostle|brief|,Table_Classes,Apostle,brief,,A self-abnegating cultist obsessed with the ritual of divine rebirth,신성한 재탄생 의식에 집착하는 자기 부정적 광신도
Table_Classes|Apostle|name|,Table_Classes,Apostle,name,,[color=#3060ff]Apostle[/color],[color=#3060ff]사도[/color]
Table_Classes|Baghatar|brief|,Table_Classes,Baghatar,brief,,A hero of the eastern desert. Blessed with a slashing prayer-wind,동부 사막의 영웅. 찢어내는 기도의 바람으로 축복받았다
Table_Classes|Baghatar|name|,Table_Classes,Baghatar,name,,[color=#90c0ff]Baghatar[/color],[color=#90c0ff]바가타르[/color]
Table_Classes|Taugh|brief|,Table_Classes,Taugh,brief,,A fighter trained in the deep forest. Retaliates with pain-fueled blows,깊은 숲에서 훈련받은 전사. 고통에서 비롯된 타격으로 반격한다
Table_Classes|Taugh|name|,Table_Classes,Taugh,name,,[color=#30af30]Reaver[/color],[color=#30af30]약탈자[/color]
Table_Classes|Assassin|brief|,Table_Classes,Assassin,brief,,A hooded fighter of the northern filth-valleys. Devoted to the purity of skill,북부 오물 골짜기 출신의 두건 전사. 기술의 순수함에 헌신한다
Table_Classes|Assassin|name|,Table_Classes,Assassin,name,,[color=#a02070]Assassin[/color],[color=#a02070]암살자[/color]
Table_Classes|Aslan|brief|,Table_Classes,Aslan,brief,,A valiant fighter with a magic retort. Despises the act of prayer during combat,마법 반격을 지닌 용맹한 전사. 전투 중 기도 행위를 경멸한다
Table_Classes|Aslan|name|,Table_Classes,Aslan,name,,[color=#f0a070]Aslan[/color],[color=#f0a070]아슬란[/color]
Table_Classes|Secutor|brief|,Table_Classes,Secutor,brief,,A fighter with a magic healing-stance. Trained by a faded gladiatorial clan that once competed in the bouts of lost Shuppurak,마법 치유 자세를 지닌 전사. 과거 경기장에서 겨루던 쇠락한 검투사 일족이 훈련시켰다
Table_Classes|Secutor|name|,Table_Classes,Secutor,name,,[color=#50f080]Secutor[/color],[color=#50f080]세쿠토르[/color]
Table_Classes|Upuat|brief|,Table_Classes,Upuat,brief,,A hunter of the eastern desert. Blessed with a sacred Jackal-shape,동부 사막의 사냥꾼. 신성한 자칼 형상으로 축복받았다
Table_Classes|Upuat|name|,Table_Classes,Upuat,name,,[color=#c02020]Upuat[/color],[color=#c02020]우푸아트[/color]
Table_Classes|Sorcerer|brief|,Table_Classes,Sorcerer,brief,,A mystic imbued with the secrets of projective magic. Said to have studied in the crystalline warren. Vulnerable to harm,투사 마법의 비밀을 깃든 신비가. 수정 굴에서 공부했다고 전해진다
Table_Classes|Sorcerer|name|,Table_Classes,Sorcerer,name,,[color=#a02080]Sorcerer[/color],[color=#a02080]마법사[/color]
Table_Enemies|ratman_guard|name|,Table_Enemies,ratman_guard,name,,Rat-man,쥐인간 경비병
Table_Enemies|ratman_guard|name_color|,Table_Enemies,ratman_guard,name_color,,[color=#c0c040]Rat-man[/color],[color=#c0c040]쥐인간 경비병[/color]
Table_Enemies|ratman_guard|sighting|,Table_Enemies,ratman_guard,sighting,,[color=#c0c040]Rat-men Guards[/color] dwell here,[color=#c0c040]쥐인간 경비병들[/color]이 여기에 살고 있다
Table_Enemies|ratman_guard|description|,Table_Enemies,ratman_guard,description,,A humanoid rodent that lives in swarming colonies,군집 생활을 하는 인간형 설치류
Table_Enemies|ratman_guard|rumor|,Table_Enemies,ratman_guard,rumor,,The rocks are smeared with dung. A terrible stench,바위에 배설물이 묻어 있다. 역겨운 악취가 풍긴다
Table_Enemies|ratman_guard|taunt|,Table_Enemies,ratman_guard,taunt,,The [color=#c0c040]Rat-man[/color] squeaks ecstatically...,[color=#c0c040]쥐인간[/color]이 황홀하게 끼익거린다...
Table_Enemies|blinkbeast|name|,Table_Enemies,blinkbeast,name,,Blinkbeast,순간이동 야수
Table_Enemies|blinkbeast|name_color|,Table_Enemies,blinkbeast,name_color,,[color=#8050af]Blinkbeast[/color],[color=#8050af]순간이동 야수[/color]
Table_Enemies|blinkbeast|sighting|,Table_Enemies,blinkbeast,sighting,,[color=#8050af]Blinkbeasts[/color] hunt here,[color=#8050af]순간이동 야수들[/color]이 여기서 사냥한다
Table_Enemies|blinkbeast|description|,Table_Enemies,blinkbeast,description,,An ethereal hunter from the Void,허공에서 온 영적인 사냥꾼
Table_Enemies|blinkbeast|rumor|,Table_Enemies,blinkbeast,rumor,,There is an unusual silence. A strange light flickers in the distance,이상한 침묵이 감돈다. 먼 곳에서 기묘한 빛이 명멸한다
Table_Enemies|blinkbeast|taunt|,Table_Enemies,blinkbeast,taunt,,The [color=#8050af]Blinkbeast[/color] drags your body through a gap in the air...,[color=#8050af]순간이동 야수[/color]가 허공의 틈새로 네 몸을 끌어당긴다...
Table_Enemies|hobgoblin|name|,Table_Enemies,hobgoblin,name,,Hobgoblin,홉고블린
Table_Enemies|hobgoblin|name_color|,Table_Enemies,hobgoblin,name_color,,[color=#d0a070]Hobgoblin[/color],[color=#d0a070]홉고블린[/color]
Table_Enemies|hobgoblin|sighting|,Table_Enemies,hobgoblin,sighting,,[color=#d0a070]Hobgoblins[/color] patrol this way,[color=#d0a070]홉고블린들[/color]이 이 길을 순찰한다
Table_Enemies|hobgoblin|description|,Table_Enemies,hobgoblin,description,,A brawny tunnel-raider. Wallows in the shallow caverns of the tunnel-lands. Covets the mythical 'living gold',터널 지대의 얕은 동굴에 사는 건장한 약탈자. 전설 속 '살아있는 황금'을 탐낸다
Table_Enemies|hobgoblin|rumor|,Table_Enemies,hobgoblin,rumor,,You hear the rattle of crude armor,조잡한 갑옷 부딪히는 소리가 들린다
Table_Enemies|hobgoblin|taunt|,Table_Enemies,hobgoblin,taunt,,"The [color=#d0a070]Hobgoblin[/color] mutters ""Weakling""...","[color=#d0a070]홉고블린[/color]이 ""약골""이라 중얼거린다..."
Table_Enemies|hound_alpha|name|,Table_Enemies,hound_alpha,name,,Hound Alpha,우두머리 사냥개
Table_Enemies|hound_alpha|name_color|,Table_Enemies,hound_alpha,name_color,,[color=#f0a060]Hound Alpha[/color],[color=#f0a060]우두머리 사냥개[/color]
Table_Enemies|hound_alpha|sighting|,Table_Enemies,hound_alpha,sighting,,[color=#f0a060]Hounds[/color] stalk this land,[color=#f0a060]사냥개들[/color]이 이 땅을 배회한다
Table_Enemies|hound_alpha|description|,Table_Enemies,hound_alpha,description,,A yelping beast of imposing stature,위압적인 체구를 가진 짖어대는 야수
Table_Enemies|hound_alpha|rumor|,Table_Enemies,hound_alpha,rumor,,You hear the yipping of wild dogs,들개들의 낑낑거리는 소리가 들린다
Table_Enemies|hound_alpha|taunt|,Table_Enemies,hound_alpha,taunt,,The [color=#f0a060]Hound Alpha[/color] latches onto your throat. Your knees buckle...,[color=#f0a060]우두머리 사냥개[/color]가 네 목을 물어 뜯는다. 무릎이 꺾인다...
Table_Enemies|slagh_skirmisher|name|,Table_Enemies,slagh_skirmisher,name,,Slagh Skirmisher,슬라흐 산병
Table_Enemies|slagh_skirmisher|name_color|,Table_Enemies,slagh_skirmisher,name_color,,[color=#30af40]Slagh Skirmisher[/color],[color=#30af40]슬라흐 산병[/color]
Table_Enemies|slagh_skirmisher|sighting|,Table_Enemies,slagh_skirmisher,sighting,,[color=#30af40]Slagh Skirmishers[/color] guard this place,[color=#30af40]슬라흐 산병들[/color]이 이 곳을 지킨다
Table_Enemies|slagh_skirmisher|description|,Table_Enemies,slagh_skirmisher,description,,A sadistic raider of the deep forest. A member of the Slagh horde,깊은 숲 속의 잔인한 약탈자. 슬라흐 무리의 일원
Table_Enemies|slagh_skirmisher|rumor|,Table_Enemies,slagh_skirmisher,rumor,,You see a moss altar decorated with bleached skulls,표백된 두개골로 장식된 이끼 제단이 보인다
Table_Enemies|slagh_skirmisher|taunt|,Table_Enemies,slagh_skirmisher,taunt,,The [color=#30af40]Slagh Skirmisher[/color] dances over your exhausted body...,[color=#30af40]슬라흐 산병[/color]이 네 지친 몸 위에서 춤을 춘다...
Table_Enemies|mud_golem|name|,Table_Enemies,mud_golem,name,,Mud Wretch,진흙 괴물
Table_Enemies|mud_golem|name_color|,Table_Enemies,mud_golem,name_color,,[color=#c0a070]Mud Wretch[/color],[color=#c0a070]진흙 괴물[/color]
Table_Enemies|mud_golem|sighting|,Table_Enemies,mud_golem,sighting,,[color=#c0a070]Mud Wretches[/color] lurk here,[color=#c0a070]진흙 괴물들[/color]이 여기에 잠복해 있다
Table_Enemies|mud_golem|description|,Table_Enemies,mud_golem,description,,A hulk of mud animated by a fleck of 'living gold','살아있는 황금' 한 조각으로 생명을 얻은 진흙 덩어리
Table_Enemies|mud_golem|rumor|,Table_Enemies,mud_golem,rumor,,There are wide footprints in the dust,먼지 속에 넓은 발자국이 찍혀 있다
Table_Enemies|mud_golem|taunt|,Table_Enemies,mud_golem,taunt,,The [color=#c0a070]Mud Wretch[/color] crushes you...,[color=#c0a070]진흙 괴물[/color]이 너를 으스러뜨린다...
Table_Enemies|heretic|name|,Table_Enemies,heretic,name,,Zindiq,진디크
Table_Enemies|heretic|name_color|,Table_Enemies,heretic,name_color,,[color=#a09070]Zindiq[/color],[color=#a09070]진디크[/color]
Table_Enemies|heretic|sighting|,Table_Enemies,heretic,sighting,,[color=#a09070]Zindiq[/color] wander here,[color=#a09070]진디크[/color]가 여기를 배회한다
Table_Enemies|heretic|description|,Table_Enemies,heretic,description,,A wandering executioner-monk,방랑하는 처형 수도사
Table_Enemies|heretic|rumor|,Table_Enemies,heretic,rumor,,You see the remains of a defiled shrine,더럽혀진 사당의 잔해가 보인다
Table_Enemies|heretic|taunt|,Table_Enemies,heretic,taunt,,The [color=#a09070]Zindiq[/color] swings for your neck...,[color=#a09070]진디크[/color]가 네 목을 향해 검을 휘두른다...
Table_Enemies|irga_guard|name|,Table_Enemies,irga_guard,name,,Irga Guard,이르가 경비병
Table_Enemies|irga_guard|name_color|,Table_Enemies,irga_guard,name_color,,[color=#ff0070]Irga Guard[/color],[color=#ff0070]이르가 경비병[/color]
Table_Enemies|irga_guard|sighting|,Table_Enemies,irga_guard,sighting,,[color=#ff0070]Irga Guards[/color] raid here,[color=#ff0070]이르가 경비병들[/color]이 여기를 습격한다
Table_Enemies|irga_guard|description|,Table_Enemies,irga_guard,description,,A fanatic soldier from the tunnels above the infernal plane,지옥 평원 위 터널에서 온 광신적인 병사
Table_Enemies|irga_guard|rumor|,Table_Enemies,irga_guard,rumor,,There is a rumor of marauders adorned in gold,금으로 치장한 침략자들에 관한 소문이 떠돈다
Table_Enemies|irga_guard|taunt|,Table_Enemies,irga_guard,taunt,,The [color=#ff0070]Irga Guard[/color] drags you to its master...,[color=#ff0070]이르가 경비병[/color]이 너를 그 주인에게 끌고 간다...
Table_Enemies|greenwyrm|name|,Table_Enemies,greenwyrm,name,,Green Wyrm,녹색 와이번
Table_Enemies|greenwyrm|name_color|,Table_Enemies,greenwyrm,name_color,,[color=#40ff00]Green Wyrm[/color],[color=#40ff00]녹색 와이번[/color]
Table_Enemies|greenwyrm|sighting|,Table_Enemies,greenwyrm,sighting,,[color=#40ff00]Green Wyrms[/color] ravage this place,[color=#40ff00]녹색 와이번들[/color]이 이 곳을 초토화시킨다
Table_Enemies|greenwyrm|description|,Table_Enemies,greenwyrm,description,,A green-scaled beast that roams the wilderness. Spews fire,황야를 배회하는 녹색 비늘의 야수. 화염을 뿜는다
Table_Enemies|greenwyrm|rumor|,Table_Enemies,greenwyrm,rumor,,In the distance you hear a shrieking roar,멀리서 날카로운 포효 소리가 들린다
Table_Enemies|greenwyrm|taunt|,Table_Enemies,greenwyrm,taunt,,The [color=#40ff00]Green Wyrm[/color] blankets you in flames...,[color=#40ff00]녹색 와이번[/color]이 네 몸을 불길로 뒤덮는다...
Table_Enemies|gore_idol|name|,Table_Enemies,gore_idol,name,,Gore Idol,피의 우상
Table_Enemies|gore_idol|name_color|,Table_Enemies,gore_idol,name_color,,[color=#f03050]Gore Idol[/color],[color=#f03050]피의 우상[/color]
Table_Enemies|gore_idol|sighting|,Table_Enemies,gore_idol,sighting,,[color=#f03050]Gore Idols[/color] stand here,[color=#f03050]피의 우상들[/color]이 여기에 서 있다
Table_Enemies|gore_idol|description|,Table_Enemies,gore_idol,description,,A cursed idol built for a nameless god of blood,이름 없는 피의 신을 위해 세워진 저주받은 우상
Table_Enemies|gore_idol|rumor|,Table_Enemies,gore_idol,rumor,,"Travellers claim the ""nameless blood"" once ruled here",여행자들은 '이름 없는 피'가 한때 이 곳을 지배했다고 주장한다
Table_Enemies|gore_idol|taunt|,Table_Enemies,gore_idol,taunt,,The [color=#f03050]Gore Idol[/color] smites you...,[color=#f03050]피의 우상[/color]이 너를 내리친다...
Table_Enemies|bramblemonk|name|,Table_Enemies,bramblemonk,name,,Bramble Priest,가시 사제
Table_Enemies|bramblemonk|name_color|,Table_Enemies,bramblemonk,name_color,,[color=#70af00]Bramble Priest[/color],[color=#70af00]가시 사제[/color]
Table_Enemies|bramblemonk|sighting|,Table_Enemies,bramblemonk,sighting,,[color=#70af00]Bramble Priests[/color] wander here,[color=#70af00]가시 사제들[/color]이 여기를 배회한다
Table_Enemies|bramblemonk|description|,Table_Enemies,bramblemonk,description,,A green-robed acolyte of the unruly vine. Worships a sacred grove that was destroyed long ago,오래 전 파괴된 성스러운 숲을 숭배하는 녹색 법의의 시종
Table_Enemies|bramblemonk|rumor|,Table_Enemies,bramblemonk,rumor,,There is a crumbling vine-wrapped altar,덩굴이 감긴 허물어진 제단이 있다
Table_Enemies|bramblemonk|taunt|,Table_Enemies,bramblemonk,taunt,,The [color=#70af00]Bramble Priest[/color] sprouts a vine in your chest...,[color=#70af00]가시 사제[/color]가 네 가슴에 덩굴을 뻗는다...
Table_Enemies|witheredimp|name|,Table_Enemies,witheredimp,name,,Withered Imp,시든 임프
Table_Enemies|witheredimp|name_color|,Table_Enemies,witheredimp,name_color,,[color=#a0a000]Withered Imp[/color],[color=#a0a000]시든 임프[/color]
Table_Enemies|witheredimp|sighting|,Table_Enemies,witheredimp,sighting,,[color=#a0a000]Withered Imps[/color] commune here,[color=#a0a000]시든 임프들[/color]이 여기서 제를 올린다
Table_Enemies|witheredimp|description|,Table_Enemies,witheredimp,description,,A demon-wretch exiled from the infernal plane. Now spreads blight in the service of a Deathdrake,지옥 평원에서 추방된 악마 잡귀. 이제 죽음의 드레이크를 섬기며 역병을 퍼뜨린다
Table_Enemies|witheredimp|rumor|,Table_Enemies,witheredimp,rumor,,You see an altar lit with sickly green flames,병적인 녹색 불꽃으로 밝혀진 제단이 보인다
Table_Enemies|witheredimp|taunt|,Table_Enemies,witheredimp,taunt,,The [color=#a0a000]Withered Imp[/color] taps you with its foul scepter...,[color=#a0a000]시든 임프[/color]가 역겨운 홀로 너를 툭 건드린다...
Table_Enemies|TethicMonk|name|,Table_Enemies,TethicMonk,name,,Tethic Monk,테틱 수도사
Table_Enemies|TethicMonk|name_color|,Table_Enemies,TethicMonk,name_color,,[color=#5040a0]Tethic Monk[/color],[color=#5040a0]테틱 수도사[/color]
Table_Enemies|TethicMonk|sighting|,Table_Enemies,TethicMonk,sighting,,[color=#5040a0]Gibbous Mouths[/color] feast on the land,[color=#5040a0]열린 입들[/color]이 이 땅을 먹어 치운다
Table_Enemies|TethicMonk|description|,Table_Enemies,TethicMonk,description,,A failed apprentice to a Tethic mage. Seeks absolution through sacred distortion. Attacks with corrosive teeth,테틱 마법사의 수련에서 탈락한 자. 신성한 왜곡을 통해 구원을 구한다. 부식성 이빨로 공격한다
Table_Enemies|TethicMonk|rumor|,Table_Enemies,TethicMonk,rumor,,There are wandering swaths of corroded stone,부식된 돌이 이리저리 흩어져 있다
Table_Enemies|TethicMonk|taunt|,Table_Enemies,TethicMonk,taunt,,The [color=#5040a0]Tethic Monk[/color] lunges for your throat...,[color=#5040a0]테틱 수도사[/color]가 네 목을 향해 달려든다...
Table_Enemies|icebeetle|name|,Table_Enemies,icebeetle,name,,Ice Beetle,얼음 딱정벌레
Table_Enemies|icebeetle|name_color|,Table_Enemies,icebeetle,name_color,,[color=#5070ff]Ice Beetle[/color],[color=#5070ff]얼음 딱정벌레[/color]
Table_Enemies|icebeetle|sighting|,Table_Enemies,icebeetle,sighting,,[color=#5070ff]Ice Beetles[/color] nest here,[color=#5070ff]얼음 딱정벌레들[/color]이 여기에 둥지를 틀었다
Table_Enemies|icebeetle|description|,Table_Enemies,icebeetle,description,,An enormous skittering beast driven from the northern ice caves,북쪽 얼음 동굴에서 몰려온 거대한 기어다니는 야수
Table_Enemies|icebeetle|rumor|,Table_Enemies,icebeetle,rumor,,You see a decaying blue exoskeleton,썩어가는 파란 외골격이 보인다
Table_Enemies|icebeetle|taunt|,Table_Enemies,icebeetle,taunt,,The [color=#5070ff]Ice Beetle[/color] douses you in a wave of frost...,[color=#5070ff]얼음 딱정벌레[/color]가 너를 서릿발 파도로 흠뻑 적신다...
Table_Enemies|firedrake|name|,Table_Enemies,firedrake,name,,Firedrake,화염드레이크
Table_Enemies|firedrake|name_color|,Table_Enemies,firedrake,name_color,,[color=#ff7000]Firedrake[/color],[color=#ff7000]화염드레이크[/color]
Table_Enemies|firedrake|sighting|,Table_Enemies,firedrake,sighting,,...,...
Table_Enemies|firedrake|description|,Table_Enemies,firedrake,description,,A slithering beast of the vast underground lava flats,광대한 지하 용암 평원을 기어다니는 야수
Table_Enemies|firedrake|rumor|,Table_Enemies,firedrake,rumor,,You smell smoke. The ground trembles,연기 냄새가 난다. 땅이 떨린다
Table_Enemies|firedrake|intro|,Table_Enemies,firedrake,intro,,"The [color=#ff7000]Firedrake[/color] roars!

Heat...unbearable heat...","[color=#ff7000]화염드레이크[/color]가 포효한다!

열기...참을 수 없는 열기..."
Table_Enemies|firedrake|taunt|,Table_Enemies,firedrake,taunt,,The [color=#ff7000]Firedrake[/color] roars triumphantly. Your body is covered in flames...,[color=#ff7000]화염드레이크[/color]가 승리의 포효를 내뱉는다. 네 몸이 불길에 휩싸인다...
Table_Enemies|firedrake|phrase|0,Table_Enemies,firedrake,phrase,0,O scorching breath! Redeem me!,오 이글거리는 숨결이여! 나를 구원하라!
Table_Enemies|firedrake|phrase|1,Table_Enemies,firedrake,phrase,1,Flame take thee!,화염이 너를 삼키리!
Table_Enemies|deathdrake|name|,Table_Enemies,deathdrake,name,,Deathdrake,죽음드레이크
Table_Enemies|deathdrake|name_color|,Table_Enemies,deathdrake,name_color,,[color=#a0a000]Deathdrake[/color],[color=#a0a000]죽음드레이크[/color]
Table_Enemies|deathdrake|sighting|,Table_Enemies,deathdrake,sighting,,...,...
Table_Enemies|deathdrake|description|,Table_Enemies,deathdrake,description,,A once-noble drake cursed by the gate of death to live as an enraged avatar of decay,한때 고귀했던 드레이크. 죽음의 문에 저주받아 분노에 찬 부패의 화신으로 살아간다
Table_Enemies|deathdrake|rumor|,Table_Enemies,deathdrake,rumor,,"Travellers speak of the ""wings of death""",여행자들은 '죽음의 날개'에 대해 속삭인다
Table_Enemies|deathdrake|intro|,Table_Enemies,deathdrake,intro,,"The [color=#a0a000]Deathdrake[/color] hisses viciously!

The stench...foul redolence...","[color=#a0a000]죽음드레이크[/color]가 사납게 쉿 소리를 낸다!

악취...역겨운 역한 냄새..."
Table_Enemies|deathdrake|taunt|,Table_Enemies,deathdrake,taunt,,The [color=#a0a000]Deathdrake[/color] roars sickeningly. Your body shrivels...,[color=#a0a000]죽음드레이크[/color]가 구역질 나도록 포효한다. 네 몸이 쪼그라든다...
Table_Enemies|deathdrake|phrase|0,Table_Enemies,deathdrake,phrase,0,O cursed beast...,오 저주받은 야수여...
Table_Enemies|deathdrake|phrase|1,Table_Enemies,deathdrake,phrase,1,Blight take thee!,역병이 너를 삼키리!
