english,korean,occurrence_count,examples
"Apply [color=#60b0ff]Dream[/color] to yourself equal to your current stacks of [color=#60b0ff]Dream[/color]
[color=#78bca4]+2 charge[/color] when you [color=#ffff50]enter[/color] a new area",,1,Table_Invokes:tyrana:description_short
"Apply [color=#70ff00]Sickness[/color] and [color=#ff2020]Bleed[/color] to all enemies equal to the [color=#a0a0a0]charges of Prakara[/color] 
[color=#78bca4]+1 charge[/color] when you [color=#ffff50]enter[/color] a new area
[color=#70ff00]Sickness:[/color] per stack: [color=#ff3030]-10[/color] [color=#ff8030]Hit[/color], dealt 5 [color=#70ff00]Poison[/color] damage on [color=#ffff50]game turn[/color]
[color=#ff1010]Bleed:[/color] per stack: dealt 5 [color=#ff1010]Blood[/color] damage on [color=#ffff50]step[/color] / [color=#ff8030]attack[/color]",,1,Table_Invokes:rogoga:description_short
"Apply [color=#a03030]Bloodrage[/color] to yourself and remove all [color=#ff2020]Bleed[/color]

Gain additional [color=#a03030]Bloodrage[/color] for each removed [color=#ff2020]Bleed[/color]

[color=#a0a0a0]Bloodrage grants bonus speed and accuracy dice for 5 turns[/color]

[color=#78bca4]+1 charge[/color] when you [color=#ffff50]kill[/color] an enemy unit while under the effects of [color=#a03030]Bloodrage[/color]",,1,Table_Invokes:bloodrage:description
"Apply [color=#ff7000]Scorch[/color] to all enemies
[color=#a0a0a0]Scorch applied = your Glory[/color]
[color=#78bca4]+5 charges[/color] when [color=#ffff50]your glory rises[/color]",,1,Table_Invokes:goret:description_short
"Apply [color=#ffa070]Blind[/color] to all enemies
[color=#a0a0a0]Blind applied = your Glory[/color]
[color=#78bca4]+1 charge[/color] when you [color=#ffff50]kill[/color] an enemy unit",,1,Table_Invokes:glyad:description_short
"Apply [color=#ffff50]+50% stacks[/color] of all [color=#9060a0]Effects[/color] [color=#707070]max +100[/color]

[color=#a0a0a0]""Effects"" are temporary conditions such as Sickness, Poise, etc[/color]",,1,Table_TraitsGeneric:Priest:Description
Arbiter,,1,Table_Enemies:arbiter:name
"As the Lochra priesthood rose to power in the deep forest, they sent a contingent to the storm temples to learn the secrets of thunder-magic

They returned with a thunderdrake whelp, which in the dim closeness of the forest grew white horns instead of wings, and became the first Blue Wyrm

Ormjarls are masters of Blue Wyrms, though in time many of the beasts would be stolen and raised as mounts for the rapacious Storm Knights, who covet the authority of the towers",,1,Table_Lore:Ormjarl:text
Astral,,11,Table_Traits:Ara:Element | Table_Traits:Weirding:Element | Table_Traits:AstralTechnique:Element | Table_Traits:Magus:Element | Table_Traits:Astrostoicism:Element
Astral Knight,,1,Table_Allies:astralknight:name
Astropede,,1,Table_Enemies:astropede:name
Astrophyte,,1,Table_Allies:Astrophyte:name
Attune,동조,1,Table_Buffs:Attune:name
"Authority over serpents is renowned in the dawn marshes, where monstrous Acroserpents are bent to the will of Keliots

Legend tells of a reptilian wanderer who once passed through the marshes, strangely colored, from the ancient Saurian clan, whose step mesmerized the serpents underfoot

It is said the serpents followed the wanderer out of the marshes in a great slithering mass, and the Snakedancer tradition remains, coveted by the brutal Keliots that rule the whispering reeds",,1,Table_Lore:SnakeCharmer:text
BLK,,1,Table_InfoButtons:block:name
Baalus,,1,Table_Enemies:devilred:name
Ball Lightning,,1,Table_Allies:BallLightning:name
Banrion,,1,Table_Enemies:FeyBanrion:name
Basilisk,,1,Table_Enemies:basilisk:name
Batform,,1,Table_Buffs:Batform:name
Beast of Mardok,,1,Table_Allies:mardok:name
Beastform,,1,Table_Buffs:Beastform:name
"Beastmasters are trainers of rare beast-familiars who once served as arch-priests within the walls of Mardok's stone city

In lost Shuppurak, the Beastmasters gathered for a tournament of might, but were attacked by fire-pledged assassins from the burning lands, who coveted their Brass Dragons

The Beastmasters have since abandoned civilization, wandering the mountains and wild-places as duelists",,1,Table_Lore:Beastmaster:text
"Before the first distortions of the earth, Anroth was a fighter raised to divinity. It was Anroth alone who struggled upon the crumbling wheel of light, the descending rainbow of creation, for nameless years, vanquishing demons of the fecund dark 

Those who walk the path of Anroth abstain from glory-given powers, immensely raising their natural abilities and strengthening their weapons. Their emblem is a shield bearing the first rainbow, that whirls in every direction",,1,Table_Lore:Anroth:text
"Behold, O King, the [color=#FFA07A]fervent[/color] dominions of [color=#ffff50]Achra[/color]

Raiders of the vast forest, [color=#50af50]green-clad[/color], yelping, a [color=#F0E68C]shimmering horde[/color]

Star-dwellers, thick in the dark, of [color=#AFEEEE]dazzling flesh[/color], who shuffle through pale [color=#EE82EE]arches of light[/color]

My [color=#FF8C00]kindred[/color], too, processions of the ash-lands, [color=#C71585]fearsome[/color] beyond belief

Thy [color=#DAA520]path[/color] bends upwards. To reach past [color=#FF0000]monstrosity[/color], to the final step, is monstrosity not [color=#6495ED]inverted[/color]?

[color=#C71585]Distortion[/color] rules all, O King, stooped to thy [color=#9ACD32]twisting hand[/color]...",,1,Table_Verses:verse027:text
Berserk,,1,Table_Buffs:Berserk:name
Bleed,,1,Table_Buffs:Bleed:name
Bleeding Dead,,1,Table_Allies:bleedingdead:name
Bless me! O red lord!,,1,Table_Enemies:irga_knight:phrase[0]
Blessed agaric!,,1,Table_Enemies:agarithum:phrase[1]
Blessed dancer!,,1,Table_Enemies:robak:phrase[1]
Blessed dissolution!,,1,Table_Enemies:aciddrake:phrase[0]
Blessed feather! Guide me!,,1,Table_Enemies:ruk:phrase[0]
Blessed yearning...,,1,Table_Enemies:RedPrince:phrase[1]
Blight Priest,,1,Table_Allies:blightpriest:name
Blight take thee!,,1,Table_Enemies:deathdrake:phrase[1]
Blind,,1,Table_Buffs:Blind:name
Blinkbeast,,1,Table_Enemies:blinkbeast:name
Blinksnake,,1,Table_Allies:Blinksnake:name
Blood,,9,Table_Traits:Hemokinesis:Element | Table_Traits:GoreCleave:Element | Table_Traits:BloodRetort:Element | Table_Traits:UnstableThirst:Element | Table_Traits:Bloodbath:Element
Blood Revenant,,1,Table_Enemies:bloodrevenant:name
Blood Wretch,,1,Table_Enemies:BloodWretch:name
Bloodrage,,1,Table_Buffs:Bloodrage:name
Blue Wyrm,,1,Table_Allies:BlueWyrm:name
Body,,13,Table_Traits:Tenacity:Element | Table_Traits:Murmillo:Element | Table_Traits:Heartseeker:Element | Table_Traits:Assassin:Element | Table_Traits:Aim:Element
Boga,,1,Table_Enemies:boga:name
Bramble,,1,Table_Enemies:Bramble:name
Bramble Priest,,1,Table_Enemies:bramblemonk:name
Brass Dragon,,1,Table_Allies:RedDragon2:name
"Briar Mages are friends of the Briarfolk, who dwell in the secret corners of the deep forest

They stand opposed to Bramble Priests, who hunt the Briarfolk, coveting their everliving vines

One day, according to the Briarfolk, the first grove will return, the forest will retake the world, vines will cover the mountains, and the terrible ocean will soften into clear, nourishing pools",,1,Table_Lore:EarthMage:text
Briarfolk,,1,Table_Allies:gorse:name
"Brought [color=#ff3030]violence[/color], desiring [color=#ffc0c0]life[/color]

thus desired, [color=#ff3030]blood[/color] enraptured the land

became ultimate violence, with blood [color=#107090]exhausted[/color]

became [color=#9000a0]astral rage[/color]

now, in the husk of rule

the land is a [color=#ff8000]flowering immolation[/color]

that no spirit evades...",,1,Table_Verses:verse015:text
Brungle,,1,Table_Enemies:Brungle:name
Bukavac,,1,Table_Allies:Bukavac:name
Burning Blade,,1,Table_Allies:BurningBlade:name
Burning Body,,1,Table_Enemies:BurningBody:name
Burrow King,,1,Table_Enemies:burrowking:name
"By the favor of (d)

who [color=#50ff50]encircles all life[/color]

may the dividing blade

complete its [color=#ff5050]sacred cut[/color]

may the [color=#a08030]skull-destroying axe[/color]

complete its holy cut

by the favor of (d)!

may the gift of thy [color=#8020a0]power[/color]

consume all destinies, consume all paths",,1,Table_Verses:verse016:text
Cadaver,,1,Table_Allies:cadaver:name
"Came to the [color=#ff9000]nation[/color], desiring [color=#ffc0c0]life[/color]

thus desired, became no nation

became [color=#ff50ff]desire inverted[/color]

thus became a [color=#602080]kingdom of night[/color]

now, from screaming [color=#50ff00]multifoliate tower[/color]

from [color=#ff8000]spiraling flame[/color] and [color=#4090ff]declension of ice[/color]

is passed the law of night...",,1,Table_Verses:verse014:text
Cave Worm,,1,Table_Enemies:caveworm:name
"Champions are those who seek the pinnacle of martial ability

It was a nameless Champion of the coastal plains who finally slew the Bull-Giant of Achra

Taking up the giant's famous axe, she wandered into the East, far beyond the world-ending sea",,1,Table_Lore:Champion:text
Charge,,1,Table_Buffs:Charge:name
Chimera Beetle,,1,Table_Enemies:chimerabeetle:name
Chittering master...,,1,Table_Enemies:burrowking:phrase[1]
Cinderbeast,,1,Table_Enemies:cinderbeast:name
Cobra,,1,Table_Allies:boar:name
Corrosion,,1,Table_Buffs:Corrosion:name
Crawler,,1,Table_Allies:Crawler:name
"Creates [color=#20af20]divine grass[/color] in a path to the exit

[color=#20af20]Divine grass[/color] [color=#ffff50]increases[/color] your [color=#50ff50]healing[/color] by 50%

On [color=#ffff50]game turn[/color], [color=#ff5050]if[/color] an enemy is on [color=#20af20]divine grass[/color]: 

     apply 2 [color=#60af20]Entangle[/color]",,3,Table_TraitsGeneric:Ninhurs:Description_Unit | Table_TraitsGeneric:Tengri:Description_Unit | Table_TraitsGeneric:Pallas:Description_Unit
"Creates [color=#20af20]divine grass[/color] terrain in a path to the exit

[color=#20af20]Divine grass[/color] [color=#ffff50]increases[/color] your [color=#50ff50]healing[/color] by 50%

On [color=#ffff50]summon[/color]: 

     create [color=#20af20]divine grass[/color] terrain in a 1 tile range at the summoned unit 

On [color=#ffff50]game turn[/color], [color=#ff5050]if[/color] an enemy is on [color=#20af20]divine grass[/color]: 

     apply 10 [color=#60af20]Entangle[/color] to the enemy unit",,1,Table_TraitsGeneric:Ninhurs:Description
Creeper,,1,Table_Allies:creeper:name
Crowform,,1,Table_Buffs:Crowform:name
Crystalform,,1,Table_Buffs:Crystalform:name
DEF,,1,Table_InfoButtons:defense:name
DEX,,1,Table_InfoButtons:DEX:name
DGE,,1,Table_InfoButtons:dodge:name
DMG,,2,Table_InfoButtons:damage:name | Table_InfoButtons:damage2:name
Dancing Flesh,,1,Table_Enemies:dancing_flesh:name
"Deal 100 [color=#8030af]Astral[/color] damage in a path to 1 enemy at any range
Repeat with [color=#0060ff]Lightning[/color] damage
[color=#78bca4]+2 charges[/color] when you [color=#ffff50]enter[/color] a new area",,1,Table_Invokes:auzom:description_short
"Deal 100 [color=#8030af]Astral[/color] damage to all enemies in a 4 tile range
[color=#78bca4]+2 charge[/color] when you [color=#78bca4]recite[/color] the [color=#8080f0]Med Vohu[/color]",,1,Table_Invokes:awe:description_short
"Deal 1000 [color=#ff7000]Fire[/color] damage to yourself [color=#707070]cannot be raised / lowered[/color]
Gain [color=#ffff50]+100%[/color] damage [color=#ff5050]if[/color] this prayer is [color=#ff5050]not[/color] fully-charged 
[color=#78bca4]+1 charge[/color] on [color=#78bca4]divine intervention[/color]",,1,Table_Invokes:krasota:description_short
"Deal 200 [color=#8030af]Astral[/color] damage to the closest enemy, [color=#ffff50]repeat[/color] per stack of [color=#80a0f0]Grace[/color]
[color=#78bca4]+1 charge[/color] when you [color=#78bca4]recite[/color] the [color=#8080f0]Yazata[/color]",,1,Table_Invokes:vendi:description_short
"Deal 200 [color=#ffaf30]Psychic[/color] damage to all enemies with [color=#ffd000]Corrosion[/color]
[color=#78bca4]+1 charge[/color] when you [color=#ffff50]stand still[/color] if enemies live",,1,Table_Invokes:eiqab:description_short
"Deal 50 [color=#af8f50]Pierce[/color] damage to the closest enemy, [color=#ffff50]repeat[/color] an amount of times equal to your total [color=#ff0000]Weapon Size[/color]
[color=#78bca4]+1 charge[/color] when you [color=#ffff50]block[/color]",,1,Table_Invokes:doru:description_short
"Deal 500 [color=#ff7000]Fire[/color] damage to adjacent units
Repeat with [color=#5080ff]Ice[/color] damage
[color=#78bca4]+2 charges[/color] when you [color=#ffff50]enter[/color] a new area",,1,Table_Invokes:ragna:description_short
"Deal [color=#5080ff]Ice[/color] and [color=#ffaf30]Psychic[/color] damage to all enemies in a 4 tile range
[color=#a0a0a0]Damage = 10 * Dream stacks[/color]
[color=#78bca4]+2 charge[/color] when you [color=#ffff50]enter[/color] a new area",,1,Table_Invokes:muruga:description_short
"Deal [color=#70ff00]Poison[/color] damage in a path to the furthest enemy
[color=#a0a0a0]Damage = 2500 + total stacks of Effects on self[/color]
[color=#78bca4]+1 charge[/color] when you [color=#ffff50]kill[/color] an enemy unit",,1,Table_Invokes:gongu:description_short
"Deal [color=#8030af]Astral[/color] damage to yourself and to all units in a 2 tile range
[color=#a0a0a0]Damage = 15 * your Strength[/color]
[color=#78bca4]+1 charge[/color] when an enemy [color=#ffff50]dies[/color]",,1,Table_Invokes:isfet:description_short
"Deal [color=#ff2020]Blood[/color] damage to all units in a 2 tile range
Add 1 [color=#78bca4]charge[/color] to [color=#a03030]Sum Uri[/color]
[color=#a0a0a0]Damage = Weapon Size * Bloodrage stacks * 5[/color]
[color=#78bca4]+2 charge[/color] when you [color=#ffff50]enter[/color] a new area",,1,Table_Invokes:halhala:description_short
"Deal [color=#ffaf30]Psychic[/color] damage to 1 enemy at any range
[color=#a0a0a0]Damage = 25% of your maximum Life[/color] 
[color=#78bca4]+1 charge[/color] when an enemy with [color=#ffd000]Corrosion[/color] takes a step",,1,Table_Invokes:muejab:description_short
"Deal [color=#ffff50]+5 damage[/color] per stack of [color=#ffd000]Corrosion[/color] on self

On [color=#ffff50]game turn[/color], [color=#ff5050]if[/color] enemies live: 

     deal [color=#ff7000]Fire[/color] damage to yourself
     double the stacks of [color=#ffd000]Corrosion[/color] on yourself
     apply 5 [color=#ffd000]Corrosion[/color] to yourself

[color=#a0a0a0]Self-damage = stacks of Corrosion on self

Self-damage is unaffected by resistance / increase[/color]",,1,Table_TraitsGeneric:Acid_Necklace:Description
"Deal [color=#ffff50]+5 damage[/color] per stack of [color=#ffd000]Corrosion[/color] on self

On [color=#ffff50]stand still[/color] / [color=#ffff50]applying[/color] [color=#ffd000]Corrosion[/color] to another unit: 

     apply 2 [color=#ffd000]Corrosion[/color] to yourself",,1,Table_TraitsGeneric:Acid_Necklace:Description_Unit
"Deal [color=#ffff50]+5% damage[/color] per empty [color=#78bca4]prayer charge[/color]

On [color=#78bca4]prayer[/color]: 
    
      apply 3 [color=#90c0ff]Gust[/color] to yourself",,1,Table_TraitsGeneric:Baghatar:Description
Death,,17,Table_Traits:MavetKa:Element | Table_Traits:Rabbah:Element | Table_Traits:Kuga:Element | Table_Traits:MasterDoom:Element | Table_Traits:ChannelDeath:Element
Death Knight,,1,Table_Enemies:deathknight:name
Deathdrake,,1,Table_Enemies:deathdrake:name
"Destroyers begin their service as powerful mages of the gate of death, standing sentry upon the dark-violet ramparts

When a Destroyer gains too much magic, enough to challenge the blight-princes, he is dressed in feathers and rags, fitted with a strange mask, and cast into the mountains above the crevasse-lands, to wage war against the Granga, who wield bronze chakrams and fear no violence",,1,Table_Lore:Destroyer:text
Doom,,1,Table_Buffs:Doom:name
"Doomsayers are dreaded monks of the wilderness, empowered by an imprisoned cave-god of death

Scorned by the folk of Achra, Doomsayers are said to perform their gathering-rites in a secret canyon deep below the temple-lands, among the skulls of gigantic beasts from the ancient earth, that protrude mask-like from the stone",,1,Table_Lore:Doomsayer:text
Drakeform,,1,Table_Buffs:Drakeform:name
Dream,,1,Table_Buffs:Dream:name
ENC,,1,Table_InfoButtons:encumbrance:name
Eldite,,1,Table_Enemies:Eldite:name
"Empowered by the [color=#af40af]Cycle[/color] of Achra, this unit may receive [color=#ffff50]random bonuses[/color] to:

     stacks of [color=#ffff50]applied effects[/color]
     [color=#ff8030]+ Hit[/color]

     [color=#707070]unique[/color]",,1,Table_TraitsGeneric:Amplification:Description_Unit
"Enemies can no longer remove [color=#a0a000]Doom[/color] from themselves

On [color=#ffff50]game turn[/color] / [color=#ffff50]stand still[/color] / [color=#ffff50]attack[/color]:

     apply 15 [color=#a0a000]Doom[/color] to all enemies in a 3 tile range

On [color=#ffff50]enemy death[/color]:

     apply [color=#a0a000]Doom[/color] to 1 enemy at any range equal to the stacks of [color=#a0a000]Doom[/color] on the dying unit",,1,Table_TraitsGeneric:Doomsayer:Description
Entangle,,1,Table_Buffs:Entangle:name
"Entered the [color=#602080]night[/color], desiring [color=#ffc0c0]life[/color]

thus desired, asked for [color=#602080]night[/color]

for night desires night

and a [color=#ffff50]face[/color] was formed of [color=#ff7000]burning stars[/color]

and [color=#5080ff]cyclones[/color] wrenched the cringing hills

and every path became his hand...",,1,Table_Verses:verse013:text
"Entered the [color=#c0a000]wilderness[/color], desiring [color=#ffc0c0]life[/color]

thus desired, asked for [color=#8020a0]power[/color]

became more than power

eroded [color=#a08000]mountain[/color], dead [color=#ffa040]dune sea[/color]

[color=#ff00ff]rainbow star[/color], hand of annihilation

of the [color=#ff0000]splitting[/color] of every part...",,1,Table_Verses:verse012:text
"Eris is silent...
[color=#78bca4]+1 charge[/color] when you [color=#ffff50]enter[/color] a new area",,3,Table_Invokes:prota:description_short | Table_Invokes:defteros:description_short | Table_Invokes:tritos:description_short
Evasion,,1,Table_Buffs:Evasion:name
"Executioners receive their training underground, among the red-masked folk of a secret tunnel-church

The war-queen of the burning lands, coveting the eminence of her marble palace, often used Executioners to hunt priests of Azar who fled into the mountains

Executioners have since been feared as blood-smeared oppressors, though they bear no loyalty to any ruler, obeying only their occult creed, the ""rite of slaughter,"" that redeems all distortions of the earth",,1,Table_Lore:Executioner:text
"Exultites descend from excorites, judge-executioners of the burning lands, who, upon the war-queen's death, wandered purposeless into the mountains of Achra

It is said they discovered a secret tunnel-church; the excorites took shelter, and received sacraments of blood-magic from the red-masked folk of that place 

They emerged as reinvigorated Exultites, a mysterious battle-cult, who gather sacrificial followers to one day ""wage judgement"" against the world-ending sea",,1,Table_Lore:Exultite:text
Fallen Samnite,,1,Table_Enemies:samnite:name
Fanatic,,1,Table_Allies:fanatic:name
"Fearsome [color=#af40af]Pretas[/color] will hunt you[color=#707070], hungry ghosts from the land of dust...[/color]

33% chance to [color=#ff7030]endure[/color] any amount of damage [color=#707070]endured damage is set to 1, works on self-damage[/color]

On [color=#ffff50]being damaged by an enemy[/color]:

     perform an [color=#ff8030]extra attack[/color] against an adjacent enemy

[color=#a0a0a0]Extra attacks use your Main-hand weapon and do not count as an ""initial attack""[/color]",,1,Table_TraitsGeneric:Struggler:Description
Ferod,,1,Table_Enemies:Fera:name
Fey Blue-Crest,,1,Table_Enemies:FeyBlueCrest:name
Fey Partisan,,1,Table_Enemies:fey_partisan:name
Fey Red-Crest,,1,Table_Enemies:FeyRedCrest:name
Fey Scout,,1,Table_Enemies:fey_scout:name
Filth Revenant,,1,Table_Enemies:filthrevenant:name
Fire,,17,Table_Traits:Azar:Element | Table_Traits:Pyromancy:Element | Table_Traits:Shamsar:Element | Table_Traits:FireHealing:Element | Table_Traits:FrenziedChant:Element
Fire Knight,,1,Table_Allies:fireknight:name
Fire Snake,,1,Table_Enemies:fire_snake:name
Fire Wasp,,1,Table_Enemies:firewasp:name
Firebird,,1,Table_Enemies:Firebird:name
Firedrake,,1,Table_Enemies:firedrake:name
Flame Priest,,1,Table_Allies:flamepriest:name
Flame take thee!,,1,Table_Enemies:firedrake:phrase[1]
Flameform,,1,Table_Buffs:Flameform:name
Flecks of brass gleam in the dark,,1,Table_Enemies:OrichBeetle:rumor
"For each [color=#60b0ff]Dream[/color] you have, [color=#50ff50]heal[/color] yourself

Apply [color=#60b0ff]Dream[/color] to yourself

[color=#a0a0a0]Heal = 3 * WIL[/color]

[color=#78bca4]+2 charge[/color] when you [color=#ffff50]enter[/color] a new area",,1,Table_Invokes:dorova:description
"For each [color=#60b0ff]Dream[/color] you have, [color=#ffff50]deal[/color] [color=#ffaf30]Psychic[/color] damage to the closest enemy

[color=#a0a0a0]Damage = WIL[/color]

[color=#78bca4]+1 charge[/color] when apply [color=#60b0ff]Dream[/color] to yourself while an enemy lives",,1,Table_Invokes:tyrana:description
"For each [color=#ffff50]bare fist[/color], per point of [color=#ff0000]Encumbrance[/color]:

     [color=#5050ff]+5 Armor[/color]
     [color=#ff8030]+20 Hit[/color]",,1,Table_TraitsGeneric:BoulderStyle:Description
"For each [color=#ffff50]bare fist[/color]:

     [color=#5050ff]+50 Armor[/color]",,1,Table_TraitsGeneric:BoulderStyle:Description_Unit
For the red blade!,,1,Table_Enemies:gil_elga:phrase[0]
Freeze,,1,Table_Buffs:Freeze:name
Fruiting Mind-Palm,,1,Table_Enemies:MindPalmFruiting:name
Fulminant Priest,,1,Table_Allies:fulminantpriest:name
Fumedrake,,1,Table_Enemies:venomdrake:name
Gain +75% [color=#5050ff]Block chance[/color] if this item is [color=#ffff50]wielded in off-hand[/color],,2,Table_TraitsGeneric:Shield:Description | Table_TraitsGeneric:Shield:Description_Unit
"Gain [color=#20ff20]+1 Speed[/color] per stack of [color=#ff7000]Inflame[/color] on self

Deal [color=#ffff50]+5 damage[/color] per stack of [color=#ff7000]Inflame[/color] on self

On [color=#ffff50]stand still[/color]:

     double the stacks of [color=#ff7000]Inflame[/color] on yourself
     apply 10 [color=#ff7000]Inflame[/color] to yourself

On [color=#ff8030]stand still[/color] / [color=#ffff50]being attacked[/color]:

     deal [color=#ff7000]Fire[/color] and [color=#ffaf30]Psychic[/color] damage to yourself

[color=#a0a0a0]Self-damage = stacks of Inflame on self

Self-damage is unaffected by resistance / increase[/color]",,1,Table_TraitsGeneric:Frenzied:Description
"Gain [color=#5050ff]+10 Block[/color] per stack of [color=#ff7000]Inflame[/color] on self

On [color=#ff8030]attack[/color]:

     apply 5 [color=#ff7000]Inflame[/color] to yourself",,1,Table_TraitsGeneric:GoldenSword:Description
"Gain [color=#5050ff]Armor[/color] equal to the total stacks of all [color=#ffff50]effects[/color] on self

[color=#a0a0a0]""Effects"" are temporary conditions such as Sickness, Poise, etc[/color]",,1,Table_TraitsGeneric:chest_green:Description
"Gain [color=#5050ff]Block[/color] equal to the total stacks of all [color=#ffff50]effects[/color] on self

[color=#a0a0a0]""Effects"" are temporary conditions such as Sickness, Poise, etc[/color]",,2,Table_TraitsGeneric:LiRen:Description | Table_TraitsGeneric:LiRen:Description_Unit
"Gain [color=#5050ff]bonus Armor[/color] [color=#a0a0a0]= 5 * Strength * Main-hand Weapon Size[/color]

On [color=#ff8030]adjacent attack[/color], [color=#ff8080]if[/color] [color=#ffff50]two-handing[/color]:

     deal 500 [color=#af8f50]Slash[/color] damage to the target
     repeat with [color=#ff1010]Blood[/color] damage

On [color=#ffff50]killing an enemy[/color]:

     [color=#50ff50]heal[/color] 100
     perform an [color=#ff8030]extra attack[/color] against a random adjacent enemy

[color=#a0a0a0]Extra attacks use your Main-hand weapon and do not count as an ""initial attack""[/color]",,1,Table_TraitsGeneric:Executioner:Description
"Gain [color=#ff8080]+20 max Life[/color] and deal [color=#a0a000]Death[/color] damage to yourself
[color=#a0a0a0]Damage = 100 * number of enemies[/color]
[color=#78bca4]+1 charge[/color] when you [color=#ffff50]pick up[/color] an item, [color=#ff5050]-1 charge[/color] when an ally [color=#ffff50]dies[/color], if enemies live",,1,Table_Invokes:cheren:description_short
"Gain [color=#ff8080]+500 max Life[/color]
Add [color=#50ff50]+20[/color] to all [color=#50ff50]healing[/color]

On [color=#ffff50]being attacked[/color]:

     deal [color=#70ff00]Poison[/color] damage to all units in a 2 tile range
     repeat with [color=#ff1010]Blood[/color] damage

[color=#a0a0a0]Damage = 10% of your max Life[/color]",,1,Table_TraitsGeneric:Merzot:Description
Garnet Prisma,,1,Table_Allies:GarnetPrisma:name
Garnet Spider,,1,Table_Allies:Tsuchigumo2:name
Gehen,,1,Table_Enemies:Gehen:name
Geistform,,1,Table_Buffs:Geistform:name
Gibbous Mouth,,1,Table_Enemies:gibbousmouth:name
Gil-Elga,,1,Table_Enemies:gil_elga:name
Gilded Dead,,1,Table_Allies:gilded_dead:name
Giliot,,1,Table_Enemies:giliot:name
Gisa,,1,Table_Allies:Gisa:name
Glimmering Bud,,1,Table_Enemies:GlimmeringBud:name
Glinting Blade,,1,Table_Allies:GlintingBlade:name
God hungers!,,1,Table_Enemies:ogre:phrase[0]
Gold Demon,,1,Table_Enemies:demongold:name
Golden Litter,,1,Table_Enemies:golden_litter:name
Golden Wretch,,1,Table_Enemies:golden_wretch:name
Golganth,,1,Table_Enemies:golganth:name
Gora,,1,Table_Enemies:gora:name
Gore Idol,,1,Table_Enemies:gore_idol:name
Gore Nymph,,1,Table_Enemies:gore_nymph:name
Gore Priest,,1,Table_Allies:bloodacolyte:name
"Gothi are devoted warrior-priests of the storm temples, called the ""exquisite ones,"" who embody the ""fine light"" of the thunderbolt, sacred to Hadad

It is said the storm temples are the greatest height in Achra; when the world-ending sea rises, the Gothi pledge to return to the blue pillars, to display their glittering art, to become the final beauty of the earth, shining against the plunge of annihilation",,1,Table_Lore:Gothi:text
Grace,,1,Table_Buffs:Grace:name
Granga Dancer,,1,Table_Enemies:grangadancer:name
Granga Gut-Spiller,,1,Table_Enemies:GrangaGutSpiller:name
Granga Radiant,,1,Table_Enemies:GrangaRadiant:name
Granga Resplendent,,1,Table_Enemies:GrangaResplendent:name
"Grant [color=#20ff20]+10 Speed[/color] and [color=#ff8030]+100 Hit[/color] to allied units
[color=#78bca4]+1 charge[/color] when [color=#ffff50]an adjacent ally is damaged by an enemy[/color]",,1,Table_Invokes:spera:description_short
Grave Idol,,1,Table_Allies:GraveIdol:name
Green Demon,,1,Table_Enemies:demongreen:name
Green Wyrm,,1,Table_Enemies:greenwyrm:name
Grika,,1,Table_Allies:grika:name
Grove Priest,,1,Table_Allies:grovepriest:name
Gust,,1,Table_Buffs:Gust:name
HP,,1,Table_InfoButtons:life:name
Hamidrake,,1,Table_Enemies:aciddrake:name
Hatchling,,1,Table_Allies:fleshfly:name
Have you returned?,,1,Table_Enemies:GrangaResplendent:phrase[0]
"Hear this! Little [color=#ffff50]pilgrim[/color]

the land recalls its [color=#ff1010]evisceration[/color]

in the [color=#e0a050]shockwave[/color], a rippling path

worm-trenched, of [color=#5080ff]Surtmir[/color] armies

rush of chilling [color=#ff7000]fire[/color]

now dead

now the [color=#ff90a0]obelisk[/color], its lofty shimmer

[color=#ff0070]inflamed warbands[/color], shadows

a wandering scream...",,1,Table_Verses:verse019:text
"Hear this! O pilgrim

of the [color=#9050f0]departing world[/color]

[color=#ff9040]lance-girt cities[/color] lay here

nursed by [color=#10a040]wilderness gods[/color], all crushed

the [color=#2020ff]strange ocean[/color] rises, a [color=#a04040]masked will[/color] peers down

what is left of ruin?

of [color=#9050f0]suffering[/color]?

O pilgrim, in the [color=#9040a0]crevasse of time[/color]...",,1,Table_Verses:verse021:text
"Hear this! O pilgrim

there were [color=#ff9040]nations[/color] once, shining temples

of [color=#ff8050]brass[/color], [color=#2050ff]lapis[/color], pillars, wondrous, so it is said!

hence, a hand reached down from the [color=#9050f0]star-fed night[/color]

above all nations rose the [color=#a0a000]towers[/color]

their devastating breath, and a path

narrowed by [color=#a04040]vicious annihilation[/color]...

O pilgrim, of [color=#50ff50]fortunate step[/color]...",,1,Table_Verses:verse020:text
Heliot,,1,Table_Enemies:heliot:name
Hemogoblin,,1,Table_Allies:Hemogoblin:name
Here stands the god at the end of the world...,,1,Table_Enemies:horrorgolem:rumor
Hierophant,,1,Table_Enemies:drakon:name
Hobgoblin,,1,Table_Enemies:hobgoblin:name
HonoredDead,,1,Table_Allies:HonoredDead:name
Horror Giant,,1,Table_Enemies:horrorgolem:name
Horrorform,,1,Table_Buffs:Horrorform:name
Hound,,1,Table_Enemies:hound:name
Hound Alpha,,1,Table_Enemies:hound_alpha:name
Hulking shadows clatter through the dull-lapis halls,,1,Table_Enemies:GrangaGutSpiller:rumor
Hunched shadows prowl between bent spires of cosmic waste,,1,Table_Enemies:Krampite:rumor
